#,x,GRASPT1,GRASPT2,GRASPT3,TST1,TST2,TST3,GAT1,GAT2,GAT3
1,0.0025,0,0,0,0,0,0,0.969,1.25,1.532
2,0.0075,0,0,0.008,0,0,0,1.078,1.375,1.578
3,0.0125,0,0.008,0.012,0,0,0,1.172,1.499,1.609
4,0.0175,0,0.008,0.012,0,0,0,1.172,1.5,1.688
5,0.0225,0,0.012,0.012,0,0,0,1.188,1.5,1.718
6,0.0275,0,0.012,0.012,0,0,0,1.218,1.516,1.734
7,0.0325,0,0.012,0.015,0,0,0,1.219,1.532,1.734
8,0.0375,0,0.012,0.015,0,0,0,1.234,1.547,1.735
9,0.0425,0,0.012,0.015,0,0,0,1.242,1.578,1.736
10,0.0475,0,0.012,0.016,0,0,0,1.25,1.593,1.75
11,0.0525,0.008,0.012,0.016,0,0,0.015,1.25,1.594,1.774
12,0.0575,0.008,0.015,0.016,0,0,0.015,1.25,1.605,1.781
13,0.0625,0.008,0.015,0.016,0,0,0.015,1.25,1.609,1.781
14,0.0675,0.008,0.015,0.02,0,0,0.016,1.25,1.61,1.797
15,0.0725,0.008,0.015,0.02,0,0,0.016,1.265,1.61,1.828
16,0.0775,0.008,0.016,0.023,0,0,0.016,1.266,1.625,1.843
17,0.0825,0.008,0.016,0.024,0,0,0.016,1.266,1.64,1.844
18,0.0875,0.011,0.016,0.031,0,0,0.016,1.266,1.641,1.844
19,0.0925,0.012,0.016,0.032,0,0,0.016,1.266,1.656,1.859
20,0.0975,0.012,0.016,0.032,0,0,0.14,1.281,1.656,1.883
21,0.1025,0.012,0.016,0.032,0,0,0.216,1.281,1.657,1.891
22,0.1075,0.012,0.016,0.04,0,0,0.219,1.288,1.672,1.891
23,0.1125,0.012,0.016,0.044,0,0,0.266,1.297,1.672,1.954
24,0.1175,0.012,0.02,0.046,0,0,0.266,1.297,1.672,1.984
25,0.1225,0.012,0.023,0.047,0,0,0.266,1.312,1.672,2.016
26,0.1275,0.012,0.024,0.047,0,0,0.266,1.313,1.675,2.016
27,0.1325,0.012,0.024,0.052,0,0,0.281,1.327,1.687,2.031
28,0.1375,0.012,0.028,0.056,0,0,0.281,1.328,1.705,2.032
29,0.1425,0.012,0.028,0.056,0,0,0.297,1.328,1.719,2.032
30,0.1475,0.012,0.028,0.06,0,0,0.297,1.329,1.719,2.032
31,0.1525,0.012,0.028,0.062,0,0,0.338,1.342,1.735,2.04
32,0.1575,0.012,0.031,0.062,0,0,0.39,1.344,1.735,2.078
33,0.1625,0.012,0.031,0.062,0,0,0.422,1.344,1.75,2.078
34,0.1675,0.012,0.032,0.064,0,0,0.439,1.359,1.75,2.093
35,0.1725,0.012,0.032,0.072,0,0,0.47,1.359,1.766,2.109
36,0.1775,0.012,0.032,0.076,0,0.015,0.484,1.36,1.766,2.125
37,0.1825,0.012,0.032,0.076,0,0.015,0.547,1.36,1.773,2.148
38,0.1875,0.012,0.032,0.078,0,0.015,0.578,1.366,1.776,2.156
39,0.1925,0.012,0.036,0.088,0,0.015,0.61,1.375,1.781,2.172
40,0.1975,0.012,0.04,0.092,0,0.015,0.641,1.375,1.796,2.185
41,0.2025,0.012,0.04,0.094,0,0.015,0.75,1.375,1.797,2.188
42,0.2075,0.012,0.044,0.094,0,0.015,0.818,1.375,1.819,2.203
43,0.2125,0.012,0.046,0.1,0,0.015,0.828,1.389,1.828,2.204
44,0.2175,0.012,0.047,0.108,0,0.015,0.906,1.39,1.829,2.218
45,0.2225,0.012,0.047,0.108,0,0.016,0.953,1.39,1.837,2.219
46,0.2275,0.012,0.047,0.109,0,0.016,1.031,1.39,1.843,2.23
47,0.2325,0.012,0.047,0.11,0,0.016,1.031,1.39,1.844,2.25
48,0.2375,0.012,0.047,0.112,0,0.016,1.05,1.391,1.844,2.266
49,0.2425,0.012,0.048,0.112,0,0.016,1.125,1.391,1.859,2.266
50,0.2475,0.012,0.052,0.12,0,0.016,1.172,1.392,1.859,2.268
51,0.2525,0.012,0.052,0.124,0,0.016,1.406,1.405,1.86,2.276
52,0.2575,0.012,0.052,0.124,0,0.016,1.504,1.406,1.86,2.296
53,0.2625,0.012,0.056,0.124,0,0.016,1.531,1.407,1.875,2.329
54,0.2675,0.012,0.056,0.125,0,0.016,1.546,1.414,1.875,2.36
55,0.2725,0.012,0.056,0.125,0,0.016,1.563,1.422,1.875,2.375
56,0.2775,0.012,0.056,0.125,0,0.016,1.641,1.422,1.875,2.375
57,0.2825,0.015,0.056,0.125,0,0.047,1.984,1.422,1.891,2.375
58,0.2875,0.015,0.056,0.132,0,0.047,2.109,1.422,1.906,2.406
59,0.2925,0.015,0.06,0.14,0,0.047,2.875,1.422,1.907,2.407
60,0.2975,0.015,0.06,0.14,0,0.062,2.906,1.428,1.914,2.422
61,0.3025,0.015,0.062,0.148,0,0.062,3.031,1.437,1.921,2.453
62,0.3075,0.015,0.062,0.152,0,0.14,3.047,1.437,1.922,2.468
63,0.3125,0.015,0.063,0.156,0,0.14,3.109,1.437,1.938,2.476
64,0.3175,0.015,0.063,0.156,0,0.141,3.406,1.438,1.953,2.484
65,0.3225,0.015,0.063,0.157,0,0.147,3.656,1.438,1.955,2.5
66,0.3275,0.015,0.064,0.16,0,0.156,3.688,1.438,1.976,2.516
67,0.3325,0.015,0.064,0.164,0,0.156,3.766,1.438,1.976,2.563
68,0.3375,0.015,0.064,0.172,0,0.156,4.01,1.438,1.984,2.641
69,0.3425,0.015,0.064,0.172,0,0.157,4.031,1.442,1.984,2.641
70,0.3475,0.015,0.072,0.172,0,0.164,4.062,1.451,1.985,2.641
71,0.3525,0.015,0.072,0.18,0,0.172,4.244,1.451,1.985,2.672
72,0.3575,0.015,0.078,0.188,0,0.172,4.451,1.451,2.007,2.687
73,0.3625,0.016,0.078,0.188,0,0.172,4.453,1.452,2.007,2.692
74,0.3675,0.016,0.092,0.188,0,0.172,4.613,1.453,2.016,2.694
