
Gurobi 7.0.2 (linux64, Java) logging started Mon 20 May 2019 10:31:28 PM -03

Optimize a model with 40 rows, 40 columns and 120 nonzeros
Model has 792 quadratic objective terms
Variable types: 0 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [2e+00, 2e+01]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Found heuristic solution: objective -0
Modified 40 Q diagonals
Presolve time: 0.00s
Presolved: 40 rows, 40 columns, 120 nonzeros
Presolved model has 794 quadratic objective terms
Variable types: 0 continuous, 40 integer (40 binary)

Root relaxation: objective 1.034642e+03, 41 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1034.64173    0   40   -0.00000 1034.64173      -     -    0s
H    0     0                      30.0000000 1034.64173  3349%     -    0s
H    0     0                     236.0000000 1034.64173   338%     -    0s
H    0     0                     312.0000000 1034.64173   232%     -    0s
     0     2 1034.64173    0   40  312.00000 1034.64173   232%     -    0s
H   31    34                     319.0000000  954.23552   199%   3.0    0s
H   33    35                     341.0000000  954.23552   180%   3.0    0s
H   35    37                     366.0000000  954.23552   161%   3.0    0s
 129810 55157  565.66114   46   21  366.00000  617.06530  68.6%   2.5    5s
 255978 106127  487.54969   49   19  366.00000  576.54047  57.5%   2.5   10s
 327275 131833  522.17110   45   20  366.00000  562.42549  53.7%   2.5   15s
 400664 156177  482.41500   48   18  366.00000  551.42637  50.7%   2.5   20s
 467963 177172  542.86529   45   23  366.00000  542.86529  48.3%   2.5   25s
 517383 191660  458.37356   52   17  366.00000  537.29862  46.8%   2.5   30s
 567077 205706  496.19212   46   18  366.00000  532.26713  45.4%   2.5   35s
 608093 216673  372.51142   52   14  366.00000  528.45590  44.4%   2.5   40s
 647750 227129  494.64083   47   19  366.00000  525.02434  43.4%   2.5   45s
 683412 236017  388.46383   53   14  366.00000  522.06687  42.6%   2.5   50s
 714807 243549  437.05713   51   15  366.00000  519.56962  42.0%   2.5   55s
 746864 251216  395.19889   53   14  366.00000  517.11119  41.3%   2.5   60s
 776136 257855  414.50537   52   15  366.00000  515.00146  40.7%   2.5   65s
 805562 264335  482.55319   47   20  366.00000  512.96891  40.2%   2.5   70s
 830814 269731  471.22676   47   17  366.00000  511.26672  39.7%   2.5   75s
 859221 275591  509.47286   48   19  366.00000  509.47286  39.2%   2.5   80s
 885605 280966  366.74013   52   18  366.00000  507.79474  38.7%   2.5   85s
 912436 286293  461.47779   50   18  366.00000  506.09791  38.3%   2.5   90s
 937341 291117  415.29582   55   14  366.00000  504.62374  37.9%   2.5   95s
 960933 295464  392.15383   54   12  366.00000  503.26481  37.5%   2.5  100s
 985435 299883  501.89564   46   20  366.00000  501.89564  37.1%   2.5  105s
 1008402 303940  392.31569   53   15  366.00000  500.66439  36.8%   2.5  110s
 1029723 307698  378.14606   53   14  366.00000  499.53337  36.5%   2.5  115s
 1053206 311672  439.52073   53   16  366.00000  498.30277  36.1%   2.5  120s
 1072279 314882  394.20704   49   17  366.00000  497.28058  35.9%   2.5  125s
 1092637 318189  496.25859   50   18  366.00000  496.25859  35.6%   2.5  130s
 1113060 321374  473.09956   46   19  366.00000  495.20831  35.3%   2.5  135s
 1131081 324163  377.96898   55   13  366.00000  494.27566  35.0%   2.5  140s
 1152712 327495  473.67774   49   17  366.00000  493.21467  34.8%   2.5  145s
 1172433 330471  450.15967   50   15  366.00000  492.26901  34.5%   2.5  150s
 1189812 333057  447.40192   51   17  366.00000  491.46196  34.3%   2.4  155s
 1208845 335803  421.51181   54   13  366.00000  490.54285  34.0%   2.4  160s
 1225839 338183  373.55428   55   12  366.00000  489.76447  33.8%   2.4  165s
 1243260 340530  473.70402   50   17  366.00000  488.95713  33.6%   2.4  170s
 1261045 342742  458.41047   48   20  366.00000  488.10798  33.4%   2.4  175s
 1276307 344729  467.39982   48   19  366.00000  487.43945  33.2%   2.4  180s
 1294312 346990  432.47699   50   20  366.00000  486.61012  33.0%   2.4  185s
 1311618 349068  367.50347   52   13  366.00000  485.90281  32.8%   2.4  190s
 1329271 351177  381.95569   51   15  366.00000  485.13584  32.6%   2.4  195s
 1344160 352884  400.10824   51   17  366.00000  484.52596  32.4%   2.4  200s
 1362198 355059  401.85842   47   16  366.00000  483.74067  32.2%   2.4  205s
