
Gurobi 7.0.2 (linux64, Java) logging started Mon 20 May 2019 10:34:14 PM -03

Optimize a model with 241000 rows, 160400 columns and 562200 nonzeros
Variable types: 0 continuous, 160400 integer (160400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+00]
  Objective range  [1e+00, 1e+01]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+00]
Found heuristic solution: objective -0
Presolve removed 1200 rows and 80200 columns (presolve time = 5s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 10s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 15s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 20s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 25s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 30s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 35s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 40s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 45s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 50s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 55s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 60s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 65s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 70s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 75s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 80s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 85s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 91s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 95s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 101s) ...
Presolve removed 1200 rows and 80200 columns
Presolve time: 101.44s
Presolved: 239800 rows, 80200 columns, 559800 nonzeros
Variable types: 0 continuous, 80200 integer (80200 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.1036000e+05   5.081400e+04   0.000000e+00    103s
     528    2.0897600e+05   4.151550e+04   0.000000e+00    106s
    1056    2.0826250e+05   4.539400e+04   0.000000e+00    111s
    1555    2.0757750e+05   4.656450e+04   0.000000e+00    119s
    1819    2.0718650e+05   4.667000e+04   0.000000e+00    123s
    2083    2.0684300e+05   4.664600e+04   0.000000e+00    128s
    2347    2.0649350e+05   4.633950e+04   0.000000e+00    132s
    2611    2.0614200e+05   4.657150e+04   0.000000e+00    136s
    2875    2.0584400e+05   4.593600e+04   0.000000e+00    140s
    3667    2.0470000e+05   3.959100e+04   0.000000e+00    147s
    4195    2.0390250e+05   4.481050e+04   0.000000e+00    151s
    4723    2.0315900e+05   4.372550e+04   0.000000e+00    157s
    5251    2.0242550e+05   4.417650e+04   0.000000e+00    162s
    5515    2.0207300e+05   4.591500e+04   0.000000e+00    165s
    5779    2.0173200e+05   4.588200e+04   0.000000e+00    173s
    6043    2.0130500e+05   4.576750e+04   0.000000e+00    177s
    6307    2.0094850e+05   4.488750e+04   0.000000e+00    182s
    6571    2.0062400e+05   4.547700e+04   0.000000e+00    185s
    7099    1.9983000e+05   3.558300e+04   0.000000e+00    190s
    7627    1.9901100e+05   4.488400e+04   0.000000e+00    197s
    8155    1.9821500e+05   4.408100e+04   0.000000e+00    204s
    8419    1.9789500e+05   4.452400e+04   0.000000e+00    213s
    8683    1.9747500e+05   4.444100e+04   0.000000e+00    220s
    9211    1.9676400e+05   4.354400e+04   0.000000e+00    237s
    9475    1.9639300e+05   4.330800e+04   0.000000e+00    244s
    9739    1.9601400e+05   3.488550e+04   0.000000e+00    256s
   10267    1.9530200e+05   4.386000e+04   0.000000e+00    275s
   10531    1.9491000e+05   3.942600e+04   0.000000e+00    283s
   10795    1.9453150e+05   3.760700e+04   0.000000e+00    292s
   11059    1.9416400e+05   3.779400e+04   0.000000e+00    298s
